"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
1|0|"기타금융"|"/sise/sise_group_detail.naver?type=upjong&no=319"|7|8|"1.75%"
0|1|"도로와철도운송"|"/sise/sise_group_detail.naver?type=upjong&no=329"|7|8|"1.7%"
2|1|"조선"|"/sise/sise_group_detail.naver?type=upjong&no=291"|22|25|"1.65%"
244|96|"기타"|"/sise/sise_group_detail.naver?type=upjong&no=25"|711|1051|"1.6%"
3|0|"종이와목재"|"/sise/sise_group_detail.naver?type=upjong&no=318"|12|15|"1.52%"
0|1|"항공사"|"/sise/sise_group_detail.naver?type=upjong&no=305"|9|10|"1.3%"
0|1|"생명보험"|"/sise/sise_group_detail.naver?type=upjong&no=330"|6|7|"1.3%"
1|2|"전기제품"|"/sise/sise_group_detail.naver?type=upjong&no=283"|47|50|"1.27%"
0|2|"자동차"|"/sise/sise_group_detail.naver?type=upjong&no=273"|7|9|"1.25%"
1|0|"음료"|"/sise/sise_group_detail.naver?type=upjong&no=309"|14|15|"1.23%"
0|0|"사무용전자제품"|"/sise/sise_group_detail.naver?type=upjong&no=338"|1|1|"0.95%"
1|0|"디스플레이패널"|"/sise/sise_group_detail.naver?type=upjong&no=327"|3|4|"0.41%"
0|0|"카드"|"/sise/sise_group_detail.naver?type=upjong&no=337"|1|1|"0.33%"
0|0|"담배"|"/sise/sise_group_detail.naver?type=upjong&no=275"|2|2|"0.13%"
1|0|"전기유틸리티"|"/sise/sise_group_detail.naver?type=upjong&no=325"|3|4|"-0.04%"
9|2|"부동산"|"/sise/sise_group_detail.naver?type=upjong&no=280"|15|26|"-0.2%"
1|0|"운송인프라"|"/sise/sise_group_detail.naver?type=upjong&no=296"|6|7|"-0.67%"
1|0|"복합유틸리티"|"/sise/sise_group_detail.naver?type=upjong&no=331"|0|1|"-1.95%"
