"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
0|0|"구충제(펜벤다졸,이버멕틴등)"|"/sise/sise_group_detail.naver?type=theme&no=427"|10|10|"4.55%"
0|1|"3D낸드(NAND)"|"/sise/sise_group_detail.naver?type=theme&no=370"|19|20|"4.55%"
1|0|"음성인식"|"/sise/sise_group_detail.naver?type=theme&no=302"|14|15|"4.54%"
0|0|"우주항공산업"|"/sise/sise_group_detail.naver?type=theme&no=200"|24|24|"4.53%"
2|1|"남북경협"|"/sise/sise_group_detail.naver?type=theme&no=121"|28|31|"4.53%"
2|0|"DMZ평화공원"|"/sise/sise_group_detail.naver?type=theme&no=398"|18|20|"4.49%"
3|3|"반도체장비"|"/sise/sise_group_detail.naver?type=theme&no=12"|71|77|"4.49%"
1|0|"전자결제(전자화폐)"|"/sise/sise_group_detail.naver?type=theme&no=272"|16|17|"4.49%"
2|1|"UAM(도심항공모빌리티)"|"/sise/sise_group_detail.naver?type=theme&no=462"|21|24|"4.47%"
0|0|"마켓컬리관련주"|"/sise/sise_group_detail.naver?type=theme&no=481"|10|10|"4.44%"
1|3|"블록체인"|"/sise/sise_group_detail.naver?type=theme&no=387"|27|31|"4.42%"
2|0|"코로나19(덱사메타손)"|"/sise/sise_group_detail.naver?type=theme&no=442"|15|17|"4.41%"
0|1|"화폐/금융자동화기기(디지털화폐등)"|"/sise/sise_group_detail.naver?type=theme&no=8"|9|10|"4.41%"
2|2|"영상콘텐츠"|"/sise/sise_group_detail.naver?type=theme&no=127"|30|34|"4.4%"
3|1|"치매"|"/sise/sise_group_detail.naver?type=theme&no=377"|46|50|"4.39%"
0|0|"아스콘(아스팔트콘크리트)"|"/sise/sise_group_detail.naver?type=theme&no=402"|9|9|"4.37%"
0|0|"재택근무/스마트워크"|"/sise/sise_group_detail.naver?type=theme&no=435"|15|15|"4.37%"
1|0|"니켈관련주"|"/sise/sise_group_detail.naver?type=theme&no=511"|14|15|"4.34%"
0|0|"보톡스(보툴리눔톡신)"|"/sise/sise_group_detail.naver?type=theme&no=397"|12|12|"4.31%"
0|0|"정유"|"/sise/sise_group_detail.naver?type=theme&no=185"|3|3|"4.31%"
0|0|"마이크로바이옴"|"/sise/sise_group_detail.naver?type=theme&no=470"|14|14|"4.31%"
1|1|"플렉서블디스플레이"|"/sise/sise_group_detail.naver?type=theme&no=382"|23|25|"4.3%"
4|1|"제약업체"|"/sise/sise_group_detail.naver?type=theme&no=172"|79|84|"4.3%"
0|1|"스마트그리드(지능형전력망)"|"/sise/sise_group_detail.naver?type=theme&no=229"|21|22|"4.3%"
1|3|"드론(Drone)"|"/sise/sise_group_detail.naver?type=theme&no=349"|19|23|"4.29%"
1|3|"공작기계"|"/sise/sise_group_detail.naver?type=theme&no=297"|14|18|"4.25%"
1|0|"핀테크(FinTech)"|"/sise/sise_group_detail.naver?type=theme&no=342"|37|38|"4.23%"
0|6|"2019상반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=414"|22|28|"4.2%"
0|0|"일자리(취업)"|"/sise/sise_group_detail.naver?type=theme&no=324"|9|9|"4.2%"
0|0|"콜드체인(저온유통)"|"/sise/sise_group_detail.naver?type=theme&no=464"|17|17|"4.2%"
2|0|"U-Healthcare(원격진료)"|"/sise/sise_group_detail.naver?type=theme&no=149"|22|24|"4.19%"
0|5|"LED"|"/sise/sise_group_detail.naver?type=theme&no=33"|46|51|"4.18%"
0|0|"토스관련주"|"/sise/sise_group_detail.naver?type=theme&no=497"|8|8|"4.18%"
0|0|"제4이동통신"|"/sise/sise_group_detail.naver?type=theme&no=292"|5|5|"4.17%"
3|1|"고령화사회(노인복지)"|"/sise/sise_group_detail.naver?type=theme&no=311"|32|36|"4.16%"
1|0|"백신여권"|"/sise/sise_group_detail.naver?type=theme&no=485"|5|6|"4.16%"
0|1|"코로나19(혈장치료/혈장치료제)"|"/sise/sise_group_detail.naver?type=theme&no=437"|8|9|"4.15%"
0|2|"인터넷은행"|"/sise/sise_group_detail.naver?type=theme&no=343"|33|35|"4.13%"
1|5|"반도체재료/부품"|"/sise/sise_group_detail.naver?type=theme&no=14"|47|53|"4.12%"
6|3|"의료기기"|"/sise/sise_group_detail.naver?type=theme&no=175"|68|77|"4.12%"
7|9|"자동차부품"|"/sise/sise_group_detail.naver?type=theme&no=27"|125|141|"4.11%"
0|2|"5G(5세대이동통신)"|"/sise/sise_group_detail.naver?type=theme&no=373"|46|48|"4.1%"
0|1|"여행"|"/sise/sise_group_detail.naver?type=theme&no=147"|9|10|"4.09%"
1|2|"풍력에너지"|"/sise/sise_group_detail.naver?type=theme&no=188"|34|37|"4.09%"
1|3|"건강기능식품"|"/sise/sise_group_detail.naver?type=theme&no=487"|32|36|"4.06%"
1|2|"쿠팡관련주"|"/sise/sise_group_detail.naver?type=theme&no=474"|20|23|"4.05%"
0|2|"LED장비"|"/sise/sise_group_detail.naver?type=theme&no=269"|13|15|"4.02%"
0|5|"LCD장비"|"/sise/sise_group_detail.naver?type=theme&no=7"|42|47|"4.02%"
1|1|"마리화나(대마)"|"/sise/sise_group_detail.naver?type=theme&no=408"|12|14|"3.99%"
0|1|"창투사"|"/sise/sise_group_detail.naver?type=theme&no=119"|17|18|"3.98%"
0|2|"사물인터넷"|"/sise/sise_group_detail.naver?type=theme&no=334"|39|41|"3.98%"
1|0|"삼성페이"|"/sise/sise_group_detail.naver?type=theme&no=348"|27|28|"3.95%"
0|0|"철강주요종목"|"/sise/sise_group_detail.naver?type=theme&no=62"|10|10|"3.95%"
0|0|"코로나19(카모스타트)"|"/sise/sise_group_detail.naver?type=theme&no=453"|4|4|"3.92%"
1|0|"RFID(NFC등)"|"/sise/sise_group_detail.naver?type=theme&no=97"|18|19|"3.91%"
2|1|"2차전지(장비)"|"/sise/sise_group_detail.naver?type=theme&no=445"|28|31|"3.9%"
1|4|"보안주(정보)"|"/sise/sise_group_detail.naver?type=theme&no=55"|35|40|"3.86%"
1|0|"LCDBLU제조"|"/sise/sise_group_detail.naver?type=theme&no=4"|3|4|"3.86%"
1|1|"전력설비"|"/sise/sise_group_detail.naver?type=theme&no=123"|26|28|"3.81%"
0|0|"철강중소형"|"/sise/sise_group_detail.naver?type=theme&no=72"|33|33|"3.81%"
0|0|"육계"|"/sise/sise_group_detail.naver?type=theme&no=60"|9|9|"3.8%"
1|2|"항공기부품"|"/sise/sise_group_detail.naver?type=theme&no=379"|12|15|"3.79%"
0|0|"마이데이터"|"/sise/sise_group_detail.naver?type=theme&no=507"|10|10|"3.79%"
0|0|"해저터널(지하화/지하도로등)"|"/sise/sise_group_detail.naver?type=theme&no=213"|8|8|"3.76%"
6|7|"2019하반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=420"|64|77|"3.75%"
0|0|"종합물류"|"/sise/sise_group_detail.naver?type=theme&no=141"|17|17|"3.74%"
2|0|"리모델링/인테리어"|"/sise/sise_group_detail.naver?type=theme&no=13"|22|24|"3.72%"
0|0|"시멘트/레미콘"|"/sise/sise_group_detail.naver?type=theme&no=44"|17|17|"3.71%"
1|3|"철도"|"/sise/sise_group_detail.naver?type=theme&no=250"|41|45|"3.7%"
6|4|"화장품"|"/sise/sise_group_detail.naver?type=theme&no=110"|79|89|"3.7%"
2|3|"4차산업수혜주"|"/sise/sise_group_detail.naver?type=theme&no=375"|43|48|"3.7%"
1|1|"석유화학"|"/sise/sise_group_detail.naver?type=theme&no=180"|16|18|"3.7%"
1|2|"日수출규제(국산화등)"|"/sise/sise_group_detail.naver?type=theme&no=422"|17|20|"3.7%"
0|1|"강관업체(Steelpipe)"|"/sise/sise_group_detail.naver?type=theme&no=223"|8|9|"3.69%"
5|3|"지능형로봇/인공지능(AI)"|"/sise/sise_group_detail.naver?type=theme&no=99"|47|55|"3.69%"
3|4|"원자력발전"|"/sise/sise_group_detail.naver?type=theme&no=205"|40|47|"3.66%"
0|0|"GTX(수도권광역급행철도)"|"/sise/sise_group_detail.naver?type=theme&no=237"|23|23|"3.66%"
0|2|"클라우드컴퓨팅"|"/sise/sise_group_detail.naver?type=theme&no=276"|31|33|"3.63%"
3|2|"태양광에너지"|"/sise/sise_group_detail.naver?type=theme&no=191"|51|56|"3.61%"
0|0|"골프"|"/sise/sise_group_detail.naver?type=theme&no=496"|14|14|"3.6%"
3|0|"시스템반도체"|"/sise/sise_group_detail.naver?type=theme&no=307"|38|41|"3.59%"
1|1|"수자원(양적/질적개선)"|"/sise/sise_group_detail.naver?type=theme&no=184"|28|30|"3.58%"
